Date,AverageTemperature,AverageTemperatureUncertainty,Country
2006-02-01,-3.0869999999999997,0.366,Åland
2006-03-01,-4.654,0.435,Åland
2006-04-01,2.654,0.245,Åland
2006-05-01,7.7970000000000015,0.41700000000000004,Åland
2006-06-01,13.315,0.35700000000000004,Åland
2006-07-01,17.601,0.34299999999999997,Åland
2006-08-01,18.367,0.41100000000000003,Åland
2006-09-01,14.745,0.248,Åland
2006-10-01,9.554,0.146,Åland
2006-11-01,5.151999999999999,0.21899999999999997,Åland
2006-12-01,5.234999999999999,0.509,Åland
2007-01-01,0.5939999999999999,0.384,Åland
2007-02-01,-4.042,0.33799999999999997,Åland
2007-03-01,2.443,0.237,Åland
2007-04-01,4.621,0.252,Åland
2007-05-01,8.411,0.28800000000000003,Åland
2007-06-01,13.723,0.475,Åland
2007-07-01,15.749,0.3670000000000001,Åland
2007-08-01,16.776,0.275,Åland
2007-09-01,11.784999999999998,0.345,Åland
2007-10-01,7.9700000000000015,0.168,Åland
2007-11-01,3.3310000000000004,0.18,Åland
2007-12-01,2.987,0.536,Åland
2008-01-01,2.3150000000000004,0.478,Åland
2008-02-01,2.1210000000000004,0.39899999999999997,Åland
2008-03-01,0.7829999999999999,0.314,Åland
2008-04-01,4.391,0.34,Åland
2008-05-01,8.826,0.354,Åland
2008-06-01,13.706,0.496,Åland
2008-07-01,16.623,0.45799999999999996,Åland
2008-08-01,15.06,0.382,Åland
2008-09-01,11.082,0.244,Åland
2008-10-01,8.699,0.247,Åland
2008-11-01,4.125,0.16899999999999998,Åland
2008-12-01,2.176,0.523,Åland
2009-01-01,-0.7249999999999996,0.381,Åland
2009-02-01,-2.544,0.42100000000000004,Åland
2009-03-01,-0.0990000000000002,0.179,Åland
2009-04-01,4.468999999999999,0.569,Åland
2009-05-01,9.082,0.375,Åland
2009-06-01,11.670000000000002,0.251,Åland
2009-07-01,16.086000000000002,0.508,Åland
2009-08-01,16.423000000000002,0.245,Åland
2009-09-01,13.177,0.325,Åland
2009-10-01,5.614000000000001,0.3,Åland
2009-11-01,5.539,0.42200000000000004,Åland
2009-12-01,-0.823,0.4270000000000001,Åland
2010-01-01,-6.416,0.499,Åland
2010-02-01,-6.285,0.23399999999999999,Åland
2010-03-01,-1.8530000000000002,0.252,Åland
2010-04-01,2.8120000000000003,0.325,Åland
2010-05-01,8.07,0.46299999999999997,Åland
2010-06-01,12.212000000000002,0.5,Åland
2010-07-01,19.119,0.565,Åland
2010-08-01,16.512,0.426,Åland
2010-09-01,12.001,0.218,Åland
2010-10-01,6.698,0.259,Åland
2010-11-01,0.79,0.297,Åland
2010-12-01,-5.317,0.736,Åland
2011-01-01,-1.959,0.461,Åland
2011-02-01,-6.39,0.45399999999999996,Åland
2011-03-01,-0.31099999999999994,0.249,Åland
2011-04-01,4.8039999999999985,0.716,Åland
2011-05-01,8.603,0.457,Åland
2011-06-01,14.473,0.327,Åland
2011-07-01,18.003,0.581,Åland
2011-08-01,16.819000000000006,0.19899999999999998,Åland
2011-09-01,13.605999999999998,0.201,Åland
2011-10-01,8.583,0.247,Åland
2011-11-01,6.415,0.43799999999999994,Åland
2011-12-01,3.403,0.7,Åland
2012-01-01,-0.9429999999999998,0.345,Åland
2012-02-01,-3.4539999999999997,0.24600000000000002,Åland
2012-03-01,2.317,0.354,Åland
2012-04-01,2.935,0.39899999999999997,Åland
2012-05-01,8.434000000000001,0.318,Åland
2012-06-01,10.645,0.589,Åland
2012-07-01,16.05,0.445,Åland
2012-08-01,15.605,0.26899999999999996,Åland
2012-09-01,12.087,0.364,Åland
2012-10-01,7.03,0.495,Åland
2012-11-01,5.478,0.261,Åland
2012-12-01,-3.4170000000000003,0.384,Åland
2013-01-01,-2.569,0.603,Åland
2013-02-01,-1.7819999999999996,0.55,Åland
2013-03-01,-4.779,0.698,Åland
2013-04-01,1.7009999999999998,0.5429999999999999,Åland
2013-05-01,10.327,0.612,Åland
2013-06-01,14.068,0.423,Åland
2013-07-01,16.447,0.483,Åland
2013-08-01,16.425,0.37799999999999995,Åland
2013-09-01,,,Åland
2000-02-01,3.155,0.529,Afghanistan
2000-03-01,8.971,0.33299999999999996,Afghanistan
2000-04-01,18.44,0.522,Afghanistan
2000-05-01,24.14,0.435,Afghanistan
2000-06-01,25.451,0.48700000000000004,Afghanistan
2000-07-01,27.26,0.507,Afghanistan
2000-08-01,26.416,0.377,Afghanistan
2000-09-01,22.118,0.695,Afghanistan
2000-10-01,15.272,0.44,Afghanistan
2000-11-01,7.952000000000001,0.638,Afghanistan
2000-12-01,4.3950000000000005,0.5489999999999999,Afghanistan
2001-01-01,0.41,0.547,Afghanistan
2001-02-01,4.210999999999999,0.434,Afghanistan
2001-03-01,10.507,0.374,Afghanistan
2001-04-01,17.23,0.5720000000000001,Afghanistan
2001-05-01,24.108,0.789,Afghanistan
2001-06-01,26.953000000000007,0.61,Afghanistan
2001-07-01,27.772,0.501,Afghanistan
2001-08-01,26.059,0.49,Afghanistan
2001-09-01,21.241,0.44299999999999995,Afghanistan
2001-10-01,15.494000000000002,0.594,Afghanistan
2001-11-01,9.815,0.496,Afghanistan
2001-12-01,5.537000000000001,0.619,Afghanistan
2002-01-01,2.42,0.609,Afghanistan
2002-02-01,4.582,0.439,Afghanistan
2002-03-01,11.085,0.479,Afghanistan
2002-04-01,15.997,0.40299999999999997,Afghanistan
2002-05-01,21.918000000000006,0.315,Afghanistan
2002-06-01,26.476,0.35200000000000004,Afghanistan
2002-07-01,27.41200000000001,0.369,Afghanistan
2002-08-01,27.01100000000001,0.409,Afghanistan
2002-09-01,21.055,0.27,Afghanistan
2002-10-01,16.997,0.37799999999999995,Afghanistan
2002-11-01,9.369,0.185,Afghanistan
2002-12-01,2.1300000000000003,1.1340000000000001,Afghanistan
2003-01-01,3.133,0.369,Afghanistan
2003-02-01,4.854,0.6859999999999999,Afghanistan
2003-03-01,9.036,0.35700000000000004,Afghanistan
2003-04-01,15.236999999999998,0.38,Afghanistan
2003-05-01,19.064,0.38299999999999995,Afghanistan
2003-06-01,25.346999999999998,0.657,Afghanistan
2003-07-01,27.94,0.423,Afghanistan
2003-08-01,26.19,0.371,Afghanistan
2003-09-01,21.399,0.45899999999999996,Afghanistan
2003-10-01,15.723,0.539,Afghanistan
2003-11-01,7.776,0.365,Afghanistan
2003-12-01,3.293,0.491,Afghanistan
2004-01-01,3.7560000000000002,0.363,Afghanistan
2004-02-01,6.5600000000000005,0.4970000000000001,Afghanistan
2004-03-01,11.972000000000001,0.708,Afghanistan
2004-04-01,15.969,0.38299999999999995,Afghanistan
2004-05-01,21.942,0.638,Afghanistan
2004-06-01,26.14,0.47,Afghanistan
2004-07-01,27.193,0.45799999999999996,Afghanistan
2004-08-01,26.404000000000003,0.33899999999999997,Afghanistan
2004-09-01,21.741,0.41100000000000003,Afghanistan
2004-10-01,13.371,0.604,Afghanistan
2004-11-01,10.859000000000002,0.259,Afghanistan
2004-12-01,3.3440000000000003,0.66,Afghanistan
2005-01-01,0.987,0.56,Afghanistan
2005-02-01,1.8219999999999998,0.564,Afghanistan
2005-03-01,10.564,0.39799999999999996,Afghanistan
2005-04-01,15.157,0.301,Afghanistan
2005-05-01,19.294,0.396,Afghanistan
2005-06-01,25.745,0.6859999999999999,Afghanistan
2005-07-01,28.021,0.6509999999999999,Afghanistan
2005-08-01,25.897,0.58,Afghanistan
2005-09-01,22.888,0.536,Afghanistan
2005-10-01,15.880999999999998,0.594,Afghanistan
2005-11-01,8.432,0.40399999999999997,Afghanistan
2005-12-01,5.072,0.6709999999999999,Afghanistan
2006-01-01,-0.16599999999999993,0.436,Afghanistan
2006-02-01,7.231,0.5870000000000001,Afghanistan
2006-03-01,10.38,0.46299999999999997,Afghanistan
2006-04-01,15.446,0.42200000000000004,Afghanistan
2006-05-01,24.482,0.385,Afghanistan
2006-06-01,26.104,0.373,Afghanistan
2006-07-01,28.161,0.631,Afghanistan
2006-08-01,26.174000000000003,0.27899999999999997,Afghanistan
2006-09-01,20.977,0.608,Afghanistan
2006-10-01,17.814,0.6759999999999999,Afghanistan
2006-11-01,9.408,0.33299999999999996,Afghanistan
2006-12-01,1.136,0.6659999999999999,Afghanistan
2007-01-01,1.215,0.755,Afghanistan
2007-02-01,4.9830000000000005,0.29600000000000004,Afghanistan
2007-03-01,8.8,0.377,Afghanistan
2007-04-01,18.114,0.44299999999999995,Afghanistan
2007-05-01,21.951999999999998,0.402,Afghanistan
2007-06-01,26.219,0.263,Afghanistan
2007-07-01,27.365,0.365,Afghanistan
2007-08-01,25.812,0.213,Afghanistan
2007-09-01,21.217,0.33299999999999996,Afghanistan
2007-10-01,12.843,0.447,Afghanistan
2007-11-01,10.312,0.284,Afghanistan
2007-12-01,2.442,0.575,Afghanistan
2008-01-01,-4.552999999999999,1.192,Afghanistan
2008-02-01,1.3949999999999998,0.919,Afghanistan
2008-03-01,13.505999999999998,0.29,Afghanistan
2008-04-01,16.608999999999998,0.41700000000000004,Afghanistan
2008-05-01,23.153,0.512,Afghanistan
2008-06-01,27.629,0.6,Afghanistan
2008-07-01,28.409000000000002,0.345,Afghanistan
2008-08-01,26.272,0.375,Afghanistan
2008-09-01,21.965999999999998,0.5760000000000001,Afghanistan
2008-10-01,16.153000000000002,0.276,Afghanistan
2008-11-01,8.11,0.36200000000000004,Afghanistan
2008-12-01,3.949,0.344,Afghanistan
2009-01-01,2.27,0.191,Afghanistan
2009-02-01,5.9510000000000005,0.384,Afghanistan
2009-03-01,11.294,0.327,Afghanistan
2009-04-01,13.616,0.366,Afghanistan
2009-05-01,21.741999999999997,0.465,Afghanistan
2009-06-01,23.906,0.41600000000000004,Afghanistan
2009-07-01,28.145,0.35700000000000004,Afghanistan
2009-08-01,27.372,0.41100000000000003,Afghanistan
2009-09-01,22.164,0.128,Afghanistan
2009-10-01,14.17,0.435,Afghanistan
2009-11-01,8.583,0.21899999999999997,Afghanistan
2009-12-01,3.88,0.455,Afghanistan
2010-01-01,4.292,0.314,Afghanistan
2010-02-01,4.737,0.68,Afghanistan
2010-03-01,12.901,0.27399999999999997,Afghanistan
2010-04-01,17.675,0.192,Afghanistan
2010-05-01,22.099,0.29600000000000004,Afghanistan
2010-06-01,25.92,0.266,Afghanistan
2010-07-01,27.81,0.22899999999999998,Afghanistan
2010-08-01,26.015,0.17,Afghanistan
2010-09-01,20.482,0.305,Afghanistan
2010-10-01,17.182000000000002,0.25,Afghanistan
2010-11-01,8.232999999999999,0.317,Afghanistan
2010-12-01,2.5980000000000003,0.188,Afghanistan
2011-01-01,1.827,0.293,Afghanistan
2011-02-01,3.077,0.425,Afghanistan
2011-03-01,9.708,0.265,Afghanistan
2011-04-01,16.476,0.27699999999999997,Afghanistan
2011-05-01,24.124,0.382,Afghanistan
2011-06-01,27.823,0.341,Afghanistan
2011-07-01,27.88000000000001,0.165,Afghanistan
2011-08-01,27.497,0.373,Afghanistan
2011-09-01,21.965999999999998,0.327,Afghanistan
2011-10-01,15.572000000000001,0.214,Afghanistan
2011-11-01,8.998,0.317,Afghanistan
2011-12-01,1.2680000000000002,0.41600000000000004,Afghanistan
2012-01-01,-0.231,0.4320000000000001,Afghanistan
2012-02-01,0.2349999999999999,0.37799999999999995,Afghanistan
2012-03-01,8.696000000000002,0.32899999999999996,Afghanistan
2012-04-01,16.32,0.385,Afghanistan
2012-05-01,21.179,0.314,Afghanistan
2012-06-01,25.267,0.429,Afghanistan
2012-07-01,28.193,0.434,Afghanistan
2012-08-01,26.549000000000003,0.32799999999999996,Afghanistan
2012-09-01,20.933000000000003,0.231,Afghanistan
2012-10-01,15.031,0.36,Afghanistan
2012-11-01,8.7,0.389,Afghanistan
2012-12-01,2.907,0.377,Afghanistan
2013-01-01,2.241,0.516,Afghanistan
2013-02-01,4.253,0.955,Afghanistan
2013-03-01,8.46,1.186,Afghanistan
2013-04-01,14.845,0.39799999999999996,Afghanistan
2013-05-01,21.355,0.428,Afghanistan
2013-06-01,26.879,0.43,Afghanistan
2013-07-01,28.205,0.303,Afghanistan
2013-08-01,26.031,0.34700000000000003,Afghanistan
2013-09-01,,,Afghanistan
2000-02-01,22.136,0.174,Africa
2000-03-01,24.382,0.195,Africa
2000-04-01,26.074,0.157,Africa
2000-05-01,26.561999999999998,0.17600000000000002,Africa
2000-06-01,26.109,0.23199999999999998,Africa
2000-07-01,25.728,0.19399999999999998,Africa
2000-08-01,25.886,0.16899999999999998,Africa
2000-09-01,26.272,0.16,Africa
2000-10-01,25.18,0.158,Africa
2000-11-01,23.827,0.215,Africa
2000-12-01,21.708,0.16699999999999998,Africa
2001-01-01,21.266,0.22399999999999998,Africa
2001-02-01,22.397,0.192,Africa
2001-03-01,25.27,0.165,Africa
2001-04-01,25.972,0.18899999999999997,Africa
2001-05-01,26.578000000000007,0.225,Africa
2001-06-01,26.134,0.162,Africa
2001-07-01,25.821,0.134,Africa
2001-08-01,26.115,0.19399999999999998,Africa
2001-09-01,26.49,0.142,Africa
2001-10-01,25.785,0.171,Africa
2001-11-01,23.878,0.195,Africa
2001-12-01,22.388,0.23800000000000002,Africa
2002-01-01,21.039,0.259,Africa
2002-02-01,23.241,0.228,Africa
2002-03-01,25.111,0.127,Africa
2002-04-01,26.0,0.124,Africa
2002-05-01,26.752,0.231,Africa
2002-06-01,26.123,0.14,Africa
2002-07-01,26.638,0.184,Africa
2002-08-01,26.419,0.244,Africa
2002-09-01,26.721,0.17,Africa
2002-10-01,25.48200000000001,0.168,Africa
2002-11-01,23.894000000000002,0.171,Africa
2002-12-01,22.116,0.18600000000000005,Africa
2003-01-01,21.897,0.231,Africa
2003-02-01,23.2,0.198,Africa
2003-03-01,24.732,0.128,Africa
2003-04-01,26.227,0.204,Africa
2003-05-01,26.791999999999998,0.293,Africa
2003-06-01,26.309,0.302,Africa
2003-07-01,26.019000000000002,0.35200000000000004,Africa
2003-08-01,26.046,0.249,Africa
2003-09-01,26.551,0.258,Africa
2003-10-01,26.346,0.218,Africa
2003-11-01,24.341,0.272,Africa
2003-12-01,21.846999999999998,0.184,Africa
2004-01-01,21.836,0.245,Africa
2004-02-01,23.178,0.134,Africa
2004-03-01,24.841,0.14,Africa
2004-04-01,25.918000000000006,0.196,Africa
2004-05-01,26.377,0.275,Africa
2004-06-01,26.044,0.28600000000000003,Africa
2004-07-01,25.65,0.21100000000000002,Africa
2004-08-01,26.472,0.249,Africa
2004-09-01,26.134,0.126,Africa
2004-10-01,26.034000000000002,0.248,Africa
2004-11-01,24.091,0.161,Africa
2004-12-01,22.176,0.127,Africa
2005-01-01,21.166,0.18100000000000002,Africa
2005-02-01,23.878,0.256,Africa
2005-03-01,25.477,0.155,Africa
2005-04-01,26.339,0.14,Africa
2005-05-01,26.843000000000004,0.12300000000000001,Africa
2005-06-01,26.366,0.204,Africa
2005-07-01,26.092,0.201,Africa
2005-08-01,26.416,0.222,Africa
2005-09-01,26.575,0.168,Africa
2005-10-01,26.044,0.13,Africa
2005-11-01,24.209000000000003,0.172,Africa
2005-12-01,22.469,0.203,Africa
2006-01-01,21.962,0.205,Africa
2006-02-01,23.344,0.237,Africa
2006-03-01,24.831,0.145,Africa
2006-04-01,25.984,0.273,Africa
2006-05-01,26.094,0.281,Africa
2006-06-01,26.356,0.155,Africa
2006-07-01,26.11000000000001,0.228,Africa
2006-08-01,26.133000000000006,0.213,Africa
2006-09-01,26.250999999999998,0.18600000000000005,Africa
2006-10-01,25.873,0.11,Africa
2006-11-01,23.526000000000003,0.13,Africa
2006-12-01,21.363000000000003,0.152,Africa
2007-01-01,21.34,0.142,Africa
2007-02-01,23.465999999999998,0.172,Africa
2007-03-01,24.955,0.21100000000000002,Africa
2007-04-01,26.114,0.17800000000000002,Africa
2007-05-01,26.706,0.175,Africa
2007-06-01,26.179000000000002,0.165,Africa
2007-07-01,25.749000000000002,0.243,Africa
2007-08-01,25.884,0.17300000000000001,Africa
2007-09-01,26.455,0.174,Africa
2007-10-01,25.649,0.172,Africa
2007-11-01,24.057,0.127,Africa
2007-12-01,21.664,0.131,Africa
2008-01-01,20.876,0.142,Africa
2008-02-01,22.388,0.171,Africa
2008-03-01,24.944000000000006,0.207,Africa
2008-04-01,25.589,0.138,Africa
2008-05-01,26.587,0.155,Africa
2008-06-01,26.278000000000002,0.261,Africa
2008-07-01,25.842,0.17800000000000002,Africa
2008-08-01,26.166,0.15,Africa
2008-09-01,26.58,0.152,Africa
2008-10-01,25.743000000000002,0.18,Africa
2008-11-01,23.992,0.11,Africa
2008-12-01,22.070999999999998,0.139,Africa
2009-01-01,21.868000000000002,0.162,Africa
2009-02-01,23.256,0.21,Africa
2009-03-01,24.797,0.157,Africa
2009-04-01,25.785,0.207,Africa
2009-05-01,26.363000000000003,0.188,Africa
2009-06-01,26.78,0.15,Africa
2009-07-01,26.039,0.222,Africa
2009-08-01,26.201,0.207,Africa
2009-09-01,26.695999999999998,0.14400000000000002,Africa
2009-10-01,26.002,0.11599999999999999,Africa
2009-11-01,23.79300000000001,0.111,Africa
2009-12-01,22.738000000000003,0.222,Africa
2010-01-01,22.653000000000002,0.16699999999999998,Africa
2010-02-01,24.708,0.2,Africa
2010-03-01,25.673000000000002,0.15,Africa
2010-04-01,26.752,0.171,Africa
2010-05-01,27.125999999999998,0.17,Africa
2010-06-01,26.581,0.217,Africa
2010-07-01,26.087,0.21600000000000005,Africa
2010-08-01,26.278000000000002,0.203,Africa
2010-09-01,26.65,0.129,Africa
2010-10-01,26.232,0.113,Africa
2010-11-01,24.576,0.152,Africa
2010-12-01,22.354,0.129,Africa
2011-01-01,21.389,0.226,Africa
2011-02-01,23.116,0.214,Africa
2011-03-01,25.025,0.17600000000000002,Africa
2011-04-01,25.96,0.151,Africa
2011-05-01,26.551,0.20800000000000002,Africa
2011-06-01,26.354,0.184,Africa
2011-07-01,26.004,0.185,Africa
2011-08-01,25.905,0.175,Africa
2011-09-01,26.528,0.15,Africa
2011-10-01,25.339000000000002,0.218,Africa
2011-11-01,23.674000000000003,0.209,Africa
2011-12-01,21.593000000000004,0.305,Africa
2012-01-01,21.151,0.266,Africa
2012-02-01,22.648000000000003,0.20800000000000002,Africa
2012-03-01,24.357,0.159,Africa
2012-04-01,25.621,0.28600000000000003,Africa
2012-05-01,26.627,0.256,Africa
2012-06-01,26.302,0.309,Africa
2012-07-01,25.513,0.353,Africa
2012-08-01,26.042,0.317,Africa
2012-09-01,26.147,0.255,Africa
2012-10-01,25.713,0.268,Africa
2012-11-01,24.60700000000001,0.177,Africa
2012-12-01,21.983,0.24,Africa
2013-01-01,22.138,0.27699999999999997,Africa
2013-02-01,23.533,0.237,Africa
2013-03-01,25.717,0.20199999999999999,Africa
2013-04-01,25.52,0.212,Africa
2013-05-01,26.671,0.301,Africa
2013-06-01,26.324,0.188,Africa
2013-07-01,25.856,0.23800000000000002,Africa
2013-08-01,25.911,0.331,Africa
2013-09-01,,,Africa
2000-02-01,4.705,0.478,Albania
2000-03-01,7.358,0.255,Albania
2000-04-01,13.505999999999998,0.235,Albania
2000-05-01,18.077,0.201,Albania
2000-06-01,21.736,0.3670000000000001,Albania
2000-07-01,23.569000000000006,0.513,Albania
2000-08-01,23.991,0.42200000000000004,Albania
2000-09-01,18.980999999999998,0.27,Albania
2000-10-01,14.419,0.48700000000000004,Albania
2000-11-01,11.894,0.285,Albania
2000-12-01,6.3260000000000005,0.46399999999999997,Albania
2001-01-01,6.042000000000002,0.5379999999999999,Albania
2001-02-01,6.343,0.262,Albania
2001-03-01,11.743,0.474,Albania
2001-04-01,11.05,0.139,Albania
2001-05-01,17.309,0.263,Albania
2001-06-01,20.204,0.24100000000000002,Albania
2001-07-01,23.892,0.261,Albania
2001-08-01,24.44,0.316,Albania
2001-09-01,18.677,0.331,Albania
2001-10-01,15.755,0.273,Albania
2001-11-01,8.375,0.381,Albania
2001-12-01,0.4550000000000001,0.57,Albania
2002-01-01,2.11,0.6609999999999999,Albania
2002-02-01,7.734,0.552,Albania
2002-03-01,9.964,0.336,Albania
2002-04-01,11.602,0.171,Albania
2002-05-01,17.000999999999998,0.196,Albania
2002-06-01,21.982,0.253,Albania
2002-07-01,23.753,0.307,Albania
2002-08-01,21.978,0.247,Albania
2002-09-01,17.186,0.251,Albania
2002-10-01,13.465,0.27699999999999997,Albania
2002-11-01,10.299,0.131,Albania
2002-12-01,5.6450000000000005,0.218,Albania
2003-01-01,5.405,0.387,Albania
2003-02-01,1.4269999999999998,0.385,Albania
2003-03-01,7.091,0.255,Albania
2003-04-01,10.377,0.3670000000000001,Albania
2003-05-01,18.944000000000006,0.304,Albania
2003-06-01,23.367,0.498,Albania
2003-07-01,24.478,0.271,Albania
2003-08-01,25.081,0.41200000000000003,Albania
2003-09-01,18.160999999999998,0.271,Albania
2003-10-01,13.798,0.495,Albania
2003-11-01,10.492,0.17,Albania
2003-12-01,4.898,0.28800000000000003,Albania
2004-01-01,2.719,0.525,Albania
2004-02-01,5.2639999999999985,0.21600000000000005,Albania
2004-03-01,8.187000000000001,0.253,Albania
2004-04-01,12.6,0.182,Albania
2004-05-01,14.722000000000001,0.16899999999999998,Albania
2004-06-01,20.317,0.46399999999999997,Albania
2004-07-01,23.177,0.209,Albania
2004-08-01,22.362,0.175,Albania
2004-09-01,18.877,0.321,Albania
2004-10-01,15.732000000000001,0.366,Albania
2004-11-01,8.708,0.191,Albania
2004-12-01,6.433,0.34700000000000003,Albania
2005-01-01,3.446,0.348,Albania
2005-02-01,2.2569999999999997,0.557,Albania
2005-03-01,7.271,0.245,Albania
2005-04-01,11.485,0.145,Albania
2005-05-01,17.294,0.21,Albania
2005-06-01,20.165000000000006,0.297,Albania
2005-07-01,23.338,0.222,Albania
2005-08-01,21.928,0.209,Albania
2005-09-01,19.070999999999998,0.109,Albania
2005-10-01,13.412,0.225,Albania
2005-11-01,8.167,0.187,Albania
2005-12-01,5.131,0.21,Albania
2006-01-01,1.8219999999999998,0.434,Albania
2006-02-01,4.0939999999999985,0.266,Albania
2006-03-01,7.837999999999999,0.213,Albania
2006-04-01,12.538,0.324,Albania
2006-05-01,16.826,0.423,Albania
2006-06-01,20.294,0.302,Albania
2006-07-01,23.107,0.213,Albania
2006-08-01,22.6,0.282,Albania
2006-09-01,19.095,0.184,Albania
2006-10-01,14.799000000000001,0.207,Albania
2006-11-01,7.6869999999999985,0.423,Albania
2006-12-01,5.0230000000000015,0.5579999999999999,Albania
2007-01-01,6.0150000000000015,0.354,Albania
2007-02-01,7.006,0.325,Albania
2007-03-01,9.614,0.249,Albania
2007-04-01,13.039,0.265,Albania
2007-05-01,17.666,0.258,Albania
2007-06-01,22.367,0.38299999999999995,Albania
2007-07-01,25.074,0.35100000000000003,Albania
2007-08-01,23.917,0.16699999999999998,Albania
2007-09-01,17.567,0.295,Albania
2007-10-01,13.315,0.165,Albania
2007-11-01,7.547999999999999,0.185,Albania
2007-12-01,3.5580000000000003,0.363,Albania
2008-01-01,4.415,0.639,Albania
2008-02-01,5.606,0.457,Albania
2008-03-01,9.378,0.27699999999999997,Albania
2008-04-01,12.217,0.22699999999999998,Albania
2008-05-01,17.116,0.19699999999999998,Albania
2008-06-01,21.718000000000004,0.223,Albania
2008-07-01,23.732,0.20600000000000002,Albania
2008-08-01,24.459,0.33,Albania
2008-09-01,18.021,0.16399999999999998,Albania
2008-10-01,14.38,0.20800000000000002,Albania
2008-11-01,10.35,0.133,Albania
2008-12-01,6.07,0.344,Albania
2009-01-01,4.664,0.401,Albania
2009-02-01,4.438,0.304,Albania
2009-03-01,7.586,0.187,Albania
2009-04-01,12.818,0.34299999999999997,Albania
2009-05-01,18.102,0.266,Albania
2009-06-01,20.387,0.327,Albania
2009-07-01,23.729,0.445,Albania
2009-08-01,23.797,0.456,Albania
2009-09-01,19.666,0.361,Albania
2009-10-01,13.541,0.16399999999999998,Albania
2009-11-01,9.881,0.46799999999999997,Albania
2009-12-01,7.522,0.369,Albania
2010-01-01,4.4719999999999995,0.221,Albania
2010-02-01,5.78,0.16699999999999998,Albania
2010-03-01,8.354,0.263,Albania
2010-04-01,12.835,0.31,Albania
2010-05-01,16.715999999999998,0.401,Albania
2010-06-01,20.632,0.355,Albania
2010-07-01,23.52,0.48100000000000004,Albania
2010-08-01,24.384,0.444,Albania
2010-09-01,18.526,0.21,Albania
2010-10-01,12.53,0.284,Albania
2010-11-01,11.852,0.304,Albania
2010-12-01,5.7040000000000015,0.478,Albania
2011-01-01,3.788,0.5429999999999999,Albania
2011-02-01,5.244,0.381,Albania
2011-03-01,8.21,0.198,Albania
2011-04-01,12.237,0.265,Albania
